ENTRY_TIME,EXIT_TIME,VEHICLE_ID,GATE_NO
2024-05-30 23:01:01,2024-05-30 23:02:43,UP85BN9181,1
2024-05-30 22:13:48,2024-05-30 06:34:12,WB34AZ7728,1
2024-05-30 22:13:18,NULL,AP07CL4748,1
2024-05-30 22:10:50,2024-05-30 06:04:45,24BH7916B,1
2024-05-30 22:10:14,NULL,C33AA2513,1
2024-05-30 22:08:14,NULL,OD02BT2917,1
2024-05-30 22:08:00,2024-05-30 06:28:35,OD02BS8632,1
2024-05-30 22:07:27,2024-05-30 06:31:28,OD05AG9533,1
2024-05-30 22:06:45,NULL,CG07AT6083,1
2024-05-30 22:06:02,2024-05-30 06:21:19,23BH3871F,1
2024-05-30 22:05:12,NULL,23BH5468B,1
2024-05-30 22:04:48,2024-05-30 06:51:37,HR29AQ3388,1
2024-05-30 22:04:18,2024-05-30 06:32:56,WB36J2572,1
2024-05-30 22:04:05,2024-05-30 06:26:40,OD33Y0385,1
2024-05-30 22:03:33,NULL,OD02AP14Z6,1
2024-05-30 22:03:19,NULL,HR06AX6060,1
2024-05-30 22:03:06,2024-05-30 06:06:48,23BH8398A,1
2024-05-30 22:02:51,NULL,UP85T7365,1
2024-05-30 22:02:00,2024-05-30 14:14:17,OD02BX0502,1
2024-05-30 22:01:04,2024-05-30 06:37:18,OD02BE4793,1
2024-05-30 21:59:35,2024-05-30 06:37:38,AS23H8882,1
2024-05-30 21:58:20,2024-05-30 14:11:59,22BH4251E,1
2024-05-30 21:57:55,2024-05-30 06:27:44,OD02AD8860,1
2024-05-30 21:57:36,NULL,AS01BM9024,1
2024-05-30 21:56:34,NULL,WB80N2898,1
2024-05-30 21:56:31,NULL,OD05X1982,1
2024-05-30 21:55:35,2024-05-30 06:09:36,HR06AA5711,1
2024-05-30 21:55:33,2024-05-30 06:20:58,OD02Z7587,1
2024-05-30 21:55:30,2024-05-30 14:36:22,OD02N0081,1
2024-05-30 21:54:51,2024-05-30 21:45:10,OD05AQ9252,1
2024-05-30 21:54:15,NULL,OD02X9973,1
2024-05-30 21:54:06,NULL,OD2AW6632,1
2024-05-30 21:53:57,NULL,OD01AG4776,1
2024-05-30 21:53:43,NULL,OD05AV725,1
2024-05-30 21:51:42,2024-05-30 20:49:35,OD05AR1291,1
